CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87723783;St-Paul-de-Varax;N;O;886000;1;051+674;SAINT-PAUL-DE-VARAX;AIN;6624;d96ccbf4-6667-11e3-89ff-01f464e0362d;864381,5997;6557807,378;5,128115702;46,10011898;46.1001189819, 5.12811570192;46.1001189819, 5.12811570192;"{""type"": ""Point"", ""coordinates"": [5.128115701915888, 46.100118981903435]}"
87753855;Port-St-Louis-du-Rhône;O;N;935903;1;022+039;PORT-SAINT-LOUIS-DU-RHONE;BOUCHES-DU-RHONE;6126;e19e0520-19bf-11e5-a6ff-01fc64e0362d;846234,8441;6257203,381;4,804363369;43,39891441;43.398914413, 4.80436336936;43.398914413, 4.80436336936;"{""type"": ""Point"", ""coordinates"": [4.804363369361555, 43.39891441296892]}"
87761205;Portes;O;N;830000;1;622+550;PORTES-LÈS-VALENCE;DROME;6133;e1508f62-19bf-11e5-a6ff-01fc64e0362d;847993,0885;6421796,028;4,874246003;44,87953726;44.8795372569, 4.87424600285;44.8795372568, 4.87424600285;"{""type"": ""Point"", ""coordinates"": [4.874246002845219, 44.87953725683099]}"
87486571;St-Gilles-Croix-de-Vie;N;O;535000;1;012+715;SAINT-GILLES-CROIX-DE-VIE;VENDEE;3888;d984ec28-6667-11e3-89ff-01f464e0362d;322641,2703;6633633,661;-1,941609608;46,69649179;46.6964917858, -1.94160960819;46.6964917858, -1.94160960819;"{""type"": ""Point"", ""coordinates"": [-1.941609608187198, 46.69649178578644]}"
87394171;La Villette-St-Prest;N;O;420000;1;081+527;SAINT-PREST;EURE-ET-LOIR;4787;c0df9cb8-f312-11e3-90ff-015864e0362d;590857,4997;6821282,911;1,523025386;48,4826188;48.4826187966, 1.52302538605;48.4826187966, 1.52302538605;"{""type"": ""Point"", ""coordinates"": [1.523025386051403, 48.48261879659132]}"
87741256;Aiguebelle;O;O;900000;1;175+198;AIGUEBELLE;SAVOIE;2810;2972b9e4-dfbc-11e3-a2ff-01a464e0362d;957970,3425;6499225,004;6,306820209;45,54389149;45.5438914854, 6.30682020892;45.5438914854, 6.30682020892;"{""type"": ""Point"", ""coordinates"": [6.306820208917644, 45.543891485369514]}"
87116327;Esbly;N;O;071000;1;000+000;ESBLY;SEINE-ET-MARNE;4072;d99ec092-6667-11e3-89ff-01f464e0362d;686117,0484;6867032,379;2,810621936;48,90314286;48.9031428577, 2.81062193594;48.9031428577, 2.81062193594;"{""type"": ""Point"", ""coordinates"": [2.81062193593642, 48.903142857672236]}"
87696534;Luzy;O;O;760000;1;082+373;LUZY;NIEVRE;5288;d9a5fe74-6667-11e3-89ff-01f464e0362d;773919,1243;6633143,492;3,969128076;46,79434725;46.7943472528, 3.96912807623;46.7943472528, 3.96912807623;"{""type"": ""Point"", ""coordinates"": [3.969128076226551, 46.79434725279396]}"
87444083;Le Molay-Littry;N;O;366000;1;282+604;LE MOLAY-LITTRY;CALVADOS;4968;d9bf2e88-6667-11e3-89ff-01f464e0362d;417453,517;6912450,494;-0,881589185;49,24920849;49.249208493, -0.881589184517;49.249208493, -0.881589184517;"{""type"": ""Point"", ""coordinates"": [-0.881589184516526, 49.24920849295634]}"
87753509;Martigues;O;O;935000;1;839+400;MARTIGUES;BOUCHES-DU-RHONE;5405;e1bce1e4-19bf-11e5-a6ff-01fc64e0362d;864172,3265;6256866,365;5,025492061;43,39197035;43.3919703514, 5.02549206065;43.3919703513, 5.02549206065;"{""type"": ""Point"", ""coordinates"": [5.025492060648397, 43.39197035134111]}"
87113217;Noisy-le-Sec;O;O;001000;1;008+909;NOISY-LE-SEC;SEINE-SAINT-DENIS;5813;c07c181c-f312-11e3-90ff-015864e0362d;660448,3796;6866426,549;2,460538111;48,89662943;48.8966294296, 2.46053811074;48.8966294296, 2.46053811074;"{""type"": ""Point"", ""coordinates"": [2.460538110742779, 48.89662942957371]}"
87672220;Lacq;O;N;650000;1;241+173;LACQ;PYRENEES-ATLANTIQUES;4808;e18343a2-19bf-11e5-a6ff-01fc64e0362d;406181,2996;6263724,352;-0,627149022;43,41189044;43.4118904358, -0.627149022146;43.4118904358, -0.627149022146;"{""type"": ""Point"", ""coordinates"": [-0.627149022146315, 43.41189043576556]}"
87411264;Barentin-Embranchement;N;O;351000;1;156+715;BARENTIN;SEINE-MARITIME;3088;e1c2eba6-19bf-11e5-a6ff-01fc64e0362d;551888,4608;6940812,884;0,953972706;49,54932534;49.5493253375, 0.953972705903;49.5493253375, 0.953972705903;"{""type"": ""Point"", ""coordinates"": [0.95397270590319, 49.5493253375142]}"
87486142;Belleville-Vendée;N;O;530000;1;063+023;BELLEVILLE-SUR-VIE;VENDEE;3168;d9e39988-6667-11e3-89ff-01f464e0362d;361886,9835;6641517,641;-1,434609949;46,78832266;46.7883226623, -1.43460994921;46.7883226623, -1.43460994921;"{""type"": ""Point"", ""coordinates"": [-1.434609949205071, 46.788322662305234]}"
87486894;Torfou;N;O;527000;1;017+000;TORFOU;MAINE-ET-LOIRE;6999;d98ed674-6667-11e3-89ff-01f464e0362d;389254,3921;6667235,62;-1,093806015;47,03284112;47.0328411167, -1.09380601549;47.0328411167, -1.09380601549;"{""type"": ""Point"", ""coordinates"": [-1.093806015494416, 47.03284111672897]}"
87746818;Les Moussoux;N;O;896000;1;017+500;CHAMONIX-MONT-BLANC;HAUTE-SAVOIE;5099;29a08764-dfbc-11e3-a2ff-01a464e0362d;998884,1891;6542471,221;6,857567716;45,91621089;45.9162108876, 6.85756771647;45.9162108876, 6.85756771647;"{""type"": ""Point"", ""coordinates"": [6.857567716466581, 45.91621088756424]}"
87191684;Auboué;O;O;085000;1;327+328;AUBOUÉ;MEURTHE-ET-MOSELLE;2979;d9af6a02-6667-11e3-89ff-01f464e0362d;916379,8181;6905875,06;5,970192428;49,2159503;49.2159503031, 5.97019242781;49.2159503031, 5.97019242781;"{""type"": ""Point"", ""coordinates"": [5.970192427814393, 49.21595030306583]}"
87713487;Tavaux-Solvay;O;N;865000;1;072+704;TAVAUX;JURA;81470;e53d8ba8-6667-11e3-a7ff-01f464e0362d;883372,5059;6663041,123;5,415495601;47,04236356;47.0423635643, 5.41549560103;47.0423635642, 5.41549560103;"{""type"": ""Point"", ""coordinates"": [5.415495601025014, 47.04236356424566]}"
87581850;Bassens;N;O;570000;3;574+622;BASSENS;GIRONDE;3103;e15a8c82-19bf-11e5-a6ff-01fc64e0362d;422046,6854;6428640,727;-0,522309489;44,90115223;44.901152231, -0.522309489372;44.901152231, -0.522309489372;"{""type"": ""Point"", ""coordinates"": [-0.522309489371857, 44.901152231025485]}"
